pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
169,842,179,781,16.0,114.0
61,195,59,169,16.0,114.0
452,1032,469,925,23.0,114.0
812,2211,884,1983,23.0,114.0
841,1767,905,1591,23.0,114.0
660,1654,724,1489,23.0,114.0
152,811,149,697,23.0,114.0
89,569,89,491,23.0,114.0
972,2168,1073,2011,16.0,103.0
85,501,93,470,16.0,114.0
756,1136,806,1081,12.0,108.0
112,707,109,625,16.0,110.0
739,2148,743,2030,23.0,109.0
58,94,56,84,16.0,103.0
439,921,441,837,16.0,105.0
202,900,210,830,16.0,105.0
263,671,274,623,16.0,103.0
433,992,404,898,16.0,107.0
975,1825,1013,1683,12.0,108.0
266,720,298,653,23.0,114.0
1115,2888,1243,2552,23.0,114.0
166,1181,156,1103,16.0,110.0
41,197,40,170,16.0,110.0
447,1066,455,995,16.0,105.0
215,718,215,639,16.0,107.0
250,813,243,716,16.0,107.0
16,72,16,65,23.0,100.0
211,1242,204,1153,23.0,100.0
6,60,4,56,23.0,107.0
794,1434,896,1346,12.0,108.0
629,1348,701,1262,16.0,108.0
521,1027,586,956,16.0,108.0
4,7,4,7,16.0,107.0
415,843,399,774,16.0,107.0
169,599,159,549,16.0,110.0
114,285,109,271,16.0,110.0
153,282,142,254,16.0,103.0
503,1486,548,1364,16.0,102.0
28,244,32,213,16.0,103.0
121,420,142,378,16.0,108.0
737,1719,819,1568,16.0,102.0
250,848,255,787,16.0,102.0
702,1543,673,1412,16.0,107.0
1647,2749,1808,2624,12.0,115.0
91,650,93,553,16.0,103.0
18,168,21,142,16.0,103.0
283,801,323,746,16.0,103.0
84,408,89,354,16.0,103.0
563,1182,633,1095,16.0,108.0
510,890,603,821,12.0,108.0
437,879,484,834,16.0,108.0
661,1787,685,1662,2.0,102.0
766,1651,790,1547,2.0,113.0
1431,2679,1434,2506,2.0,112.0
254,620,248,580,2.0,102.0
843,1809,847,1679,2.0,102.0
476,1368,472,1253,2.0,102.0
475,1477,468,1390,16.0,110.0
179,485,194,417,23.0,103.0
161,903,159,794,16.0,104.0
1304,2013,1420,1863,12.0,108.0
417,1005,471,900,23.0,108.0
586,1429,572,1329,2.0,107.0
497,821,473,770,2.0,112.0
464,1032,461,933,2.0,107.0
691,1404,679,1294,2.0,113.0
639,1425,678,1349,2.0,113.0
905,2122,896,1986,2.0,113.0
1714,3151,1724,2997,2.0,112.0
216,1279,262,1168,23.0,103.0
84,278,93,258,16.0,103.0
18,616,21,601,23.0,100.0
11,435,16,419,23.0,100.0
100,701,103,596,16.0,104.0
248,1421,229,1193,23.0,100.0
72,388,62,328,23.0,100.0
789,1778,886,1621,16.0,108.0
120,730,142,694,23.0,114.0
905,2377,1138,2151,16.0,114.0
703,1132,858,1110,12.0,108.0
579,1582,669,1443,16.0,114.0
1867,3324,1877,3158,2.0,112.0
5,183,3,176,23.0,100.0
5,283,7,267,23.0,110.0
31,1108,35,1076,23.0,110.0
104,785,114,691,23.0,100.0
817,2038,1001,1817,16.0,114.0
672,1100,743,1032,12.0,108.0
985,1365,1099,1329,12.0,108.0
822,2067,1043,1963,16.0,114.0
420,1155,506,1065,16.0,114.0
357,1140,451,1028,23.0,114.0
680,1215,676,1128,2.0,107.0
197,1220,195,1077,16.0,103.0
179,1346,167,1161,16.0,103.0
19,160,18,142,23.0,103.0
19,389,20,360,23.0,110.0
30,863,32,814,23.0,110.0
16,981,18,946,23.0,110.0
227,1384,233,1173,16.0,104.0
155,855,148,731,16.0,104.0
181,906,198,805,16.0,104.0
259,1556,304,1348,23.0,104.0
492,1114,569,1056,16.0,108.0
530,1044,680,971,12.0,108.0
198,1056,236,994,16.0,103.0
169,984,181,924,16.0,103.0
158,1048,162,995,16.0,102.0
474,811,524,765,16.0,108.0
645,1407,812,1296,16.0,108.0
565,1291,657,1231,16.0,114.0
131,1224,119,1105,23.0,100.0
200,1215,186,1102,23.0,111.0
35,1025,26,984,23.0,110.0
14,402,10,383,23.0,110.0
631,2584,732,2335,23.0,103.0
487,1067,484,975,16.0,105.0
8,28,7,25,16.0,103.0
359,866,416,789,16.0,108.0
678,1833,843,1605,16.0,108.0
379,2287,421,2075,16.0,103.0
254,717,249,638,16.0,114.0
710,1657,736,1547,16.0,102.0
1372,2223,1481,2124,12.0,115.0
483,1265,596,1163,23.0,114.0
388,458,375,445,22.0,13.0
956,1155,919,1104,22.0,13.0
478,1732,506,1661,22.0,101.0
20,786,11,773,23.0,110.0
88,257,92,231,12.0,115.0
627,913,680,861,12.0,115.0
378,1091,460,996,16.0,103.0
598,2398,701,2193,16.0,103.0
457,1652,525,1476,23.0,114.0
2103,3019,2122,2860,2.0,112.0
389,1224,411,1129,16.0,102.0
984,2462,1012,2340,2.0,113.0
647,1364,616,1283,2.0,112.0
346,816,305,736,16.0,110.0
140,417,135,371,23.0,104.0
966,2173,969,1950,12.0,103.0
56,590,54,547,16.0,102.0
804,1513,900,1413,16.0,108.0
757,920,713,867,31.0,82.0
142,177,129,168,31.0,82.0
72,77,47,54,31.0,82.0
463,738,447,686,31.0,86.0
1421,1743,1364,1630,31.0,86.0
479,742,454,684,31.0,86.0
548,873,514,794,31.0,86.0
289,343,261,310,1.0,62.0
135,158,126,145,1.0,62.0
178,196,157,178,1.0,62.0
35,118,34,102,30.0,64.0
916,2506,969,2388,12.0,65.0
1396,2498,1438,2396,12.0,65.0
664,1118,690,1075,12.0,65.0
1568,2742,1680,2635,12.0,63.0
779,1440,815,1374,12.0,63.0
531,1208,562,1153,12.0,65.0
861,1944,893,1842,12.0,63.0
928,1848,982,1762,12.0,65.0
1045,1745,1111,1706,12.0,65.0
1655,2545,1714,2408,12.0,63.0
994,1585,1063,1557,12.0,63.0
655,1133,690,1084,12.0,63.0
906,1538,937,1468,12.0,63.0
1344,2066,1431,2019,12.0,63.0
1655,2022,1595,1950,30.0,106.0
1824,2870,1984,2763,12.0,63.0
